,,,,,,,,,Starts from 01/12/2025,,,,,,
DescriptiveType,ZH,EN,DescriptiveCategory3,ZH,EN,MP Category,ZH,EN,Brand,"RFBS -> 0 - 1500 -> Тариф, %","RFBS -> 1500.01 - 5000 -> Тариф, %","RFBS -> 5000.01+ -> Тариф, %","FBP -> 0 - 1500 -> Тариф, %","FBP -> 1500.01 - 5000 -> Тариф, %","FBP -> 5000.01+ -> Тариф, %"
Инструмент для панч-биопсии,穿孔活检工具,"


Biopsy Punch

",Медицинские инструменты,医疗器械,Medical Tools,Аптека,药店,Pharmacy,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Декор для биокамина,生物壁炉装饰,Bio Fireplace Decoration,Печи,炉子,Ovens,"Декор, уборка и хранение",装饰、清洁与储物,"Decor, Cleaning & Storage",All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Чехол на мебель,家具罩,"


Furniture Cover

",Пледы и покрывала,毛毯和床罩,Throw Blankets & Coverlets,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Водолазка,高领衫,Turtleneck,Одежда,服装,Clothing,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Спортивная мазь,运动软膏,"


Sports Ointment

",Фитнес и йога,健身与瑜伽,Fitness & Yoga,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Купальник гимнастический,体操泳装,"


Gymnastic Leotard

",Спортивная одежда,运动服,Sports Clothing,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Стеарин для изготовления свечей,用于制作蜡烛的硬脂精,"


Сandle Making Stearin

",Материал для рукоделия,手工艺品材料,Handicraft Material,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Ботинки рабочие,工作皮鞋,"


Work Boots

",Спортивная и рабочая обувь,运动鞋和工作鞋,Sports and Work Footwear,Обувь,鞋类,Footwear,All,12.00%,12.00%,12.00%,11.00%,11.00%,11.00%
Фильтр масляный,机油滤清器,"


Oil Filter

",Автофильтры,汽车滤清器,Car Filters,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Защита голени,胫骨保护,Shin Protection,Экипировка и защита,装备与护具,Equipment & Protection,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
